,stateid,vaccinationdose1ratio,vaccinationdose2ratio
0,AP,0.2189166576230436,0.07667477445850374
1,UP,0.241467893116772,0.04594382386020891
2,BR,0.24176282887637102,0.04667908338268678
3,JH,0.2583079721938804,0.06266668493586208
4,WB,0.27187312913131767,0.10286534434556072
5,TN,0.28314428189213053,0.06366277308989712
6,PB,0.3029923436033544,0.09078334409507609
7,NL,0.3231631810329229,0.08488240092757046
8,MH,0.32376920092598016,0.11402685700479308
9,ML,0.3265373257981677,0.08674372381305806
10,OR,0.35759229629959993,0.10661125360334289
11,CT,0.36299749956919497,0.10777203605937993
12,AS,0.36628239132647317,0.07828408615178262
13,MN,0.4110541586683073,0.09326653112934616
14,HR,0.4138659143208388,0.12589037271302145
15,RJ,0.41622804616245296,0.13105417706314734
16,MP,0.4359910263990808,0.08390328700796974
17,KA,0.4364056041825936,0.12828141256110107
18,JK,0.4422369383976241,0.1254600200202499
19,PY,0.47252100039023903,0.12186997426986433
20,DL,0.4914838573711928,0.1944848984160714
21,GJ,0.49999109856483054,0.15922514959209255
22,AR,0.506586198000039,0.14434711471265646
23,KL,0.5173220212942795,0.19929955225789714
24,UT,0.5448837888096042,0.17077177618891065
25,MZ,0.6016272240581987,0.1984048574287782
26,TR,0.6624256889853527,0.22504210084223458
27,LA,0.6910047431723474,0.2655046319757628
28,CH,0.695039082855654,0.23151357240987255
29,HP,0.7212055411224132,0.2205073214732624
30,GA,0.7629624043138882,0.22619048435255684
31,LD,0.8015448327206738,0.2772478401811611
32,SK,0.820255266739494,0.25884040833506666
33,DN,1.7409494659726688,0.2630742866785566
