,stateid,dose1,dose2
0,AP,18552209,6502327
1,AP,18552209,6502327
2,AR,701503,199968
3,AR,701503,199968
4,AS,11554353,2468204
5,AS,11554353,2468204
6,BR,25250858,4877489
7,BR,25250858,4877489
8,CH,738480,247413
9,CH,738480,247413
10,CT,9275159,2756570
11,CT,9275159,2756570
12,DL,8252223,3266946
13,DL,8252223,3266946
14,DN,598473,91013
15,DN,598473,91013
16,GA,1114533,332742
17,GA,1114533,332742
18,GJ,30409581,9794084
19,GJ,30409581,9794084
20,HP,4955949,1514320
21,HP,4955949,1514320
22,HR,10540314,3215771
23,HR,10540314,3215771
24,JH,8547902,2076278
25,JH,8547902,2076278
26,JK,5558277,1577137
27,JK,5558277,1577137
28,KA,26767365,7875638
29,KA,26767365,7875638
30,KL,17582062,6687807
31,KL,17582062,6687807
32,LA,189526,72832
33,LA,189526,72832
34,LD,51663,17892
35,LD,51663,17892
36,MH,36536767,12875286
37,MH,36536767,12875286
38,ML,968955,257426
39,ML,968955,257426
40,MN,1173935,266494
41,MN,1173935,266494
42,MP,31696477,6099607
43,MP,31696477,6099607
44,MZ,660207,217853
45,MZ,660207,217853
46,NL,639384,168024
47,NL,639384,168024
48,OR,15029024,4479696
49,OR,15029024,4479696
50,PB,8525361,2565899
51,PB,8525361,2565899
52,PY,590016,152570
53,PY,590016,152570
54,RJ,28560595,8993780
55,RJ,28560595,8993780
56,SK,500822,158042
57,SK,500822,158042
58,TG,12076000,4154707
59,TG,12076000,4154707
60,TN,20531029,4611736
61,TN,20531029,4611736
62,TR,2434554,826885
63,TR,2434554,826885
64,UP,48251457,9185351
65,UP,48251457,9185351
66,UT,5501865,1724263
67,UT,5501865,1724263
68,WB,24876512,9396205
69,WB,24876512,9396205
