,Team_name,Total_matches,Total_kills,Kill_avg,Total_deaths,Total_deaths_avg,KDA,Wins,Winrate,Avg_time,Unique_heros_played
0,INVICTUS GAMING,24,548,22.8333,463,19.2917,1.1836,13,0.5417,2298.8333333333335,45
1,Team Liquid,35,911,26.0286,887,25.3429,1.0271,27,0.7714,2318.1714285714284,53
2,Newbee,27,628,23.2593,610,22.5926,1.0295,17,0.6296,2420.962962962963,54
3,Evil Geniuses,20,499,24.95,398,19.9,1.2538,11,0.55,2278.95,33
4,LGD.Forever Young,26,739,28.4231,479,18.4231,1.5428,20,0.7692,2284.1153846153848,47
5,Virtus.pro,23,569,24.7391,454,19.7391,1.2533,13,0.5652,2477.304347826087,48
6,Execration.安博电竞,17,342,20.1176,515,30.2941,0.6641,5,0.2941,2545.470588235294,43
7,Team Empire,21,580,27.619,599,28.5238,0.9683,9,0.4286,2836.190476190476,48
8,Infamous U.esports.,17,354,20.8235,507,29.8235,0.6982,5,0.2941,2255.176470588235,44
9,iG.Vitality,17,459,27.0,439,25.8235,1.0456,7,0.4118,2699.235294117647,39
10,Team Secret,20,498,24.9,431,21.55,1.1555,9,0.45,2462.75,49
11,OG,21,501,23.8571,559,26.619,0.8962,12,0.5714,2383.6666666666665,45
12,TNC Predator,20,562,28.1,528,26.4,1.0644,9,0.45,2653.5,41
13,PSG.LGD,26,591,22.7308,504,19.3846,1.1726,18,0.6923,1987.8076923076924,44
14,HellRaisers,16,268,16.75,445,27.8125,0.6022,1,0.0625,2404.4375,48
15,Fnatic,16,270,16.875,517,32.3125,0.5222,2,0.125,1874.3125,49
16,123,19,455,23.9474,400,21.0526,1.1375,7,0.3684,2537.5789473684213,32
