hero,hero_pick,hero_ban,hero_contested,hero_Winrate,hero_kill_avg,hero_xpm_avg,hero_lasthit_avg
antimage,16,36,52,0.5,5.6875,709.75,551.3125
axe,8,4,12,0.625,5.875,456.75,167.375
bane,0,0,0,0.0,0.0,0.0,0.0
bloodseeker,17,27,44,0.4118,6.7059,522.2941,330.3529
crystal_maiden,11,0,11,0.4545,2.3636,309.6364,77.0
drow_ranger,16,39,55,0.4375,4.0,487.375,306.8125
earthshaker,70,39,109,0.6,3.8571,405.2286,105.4857
juggernaut,12,5,17,0.4167,6.3333,513.0833,262.6667
mirana,25,2,27,0.56,7.56,506.48,244.12
nevermore,7,4,11,0.2857,4.8571,553.2857,328.1429
morphling,12,7,19,0.5833,10.25,648.3333,398.0
phantom_lancer,27,38,65,0.5185,7.3704,564.0741,345.7778
puck,61,78,139,0.4754,5.6721,513.6066,241.1311
pudge,1,0,1,0.0,0.0,215.0,27.0
razor,11,15,26,0.3636,6.1818,492.3636,257.8182
sand_king,69,25,94,0.3478,2.5362,364.942,98.971
storm_spirit,11,22,33,0.7273,11.0,631.3636,376.0
sven,39,64,103,0.641,7.5385,593.7179,338.7692
tiny,0,0,0,0.0,0.0,0.0,0.0
vengefulspirit,3,0,3,0.3333,1.3333,302.6667,49.6667
windrunner,2,0,2,0.0,1.0,301.0,107.5
zuus,4,3,7,0.5,5.5,423.5,130.0
kunkka,32,30,62,0.5625,2.1562,330.6875,48.1562
lina,15,9,24,0.2667,6.7333,575.8667,280.2
lich,44,60,104,0.5,2.6591,343.6136,42.5682
lion,0,1,1,0.0,0.0,0.0,0.0
shadow_shaman,36,6,42,0.5278,2.9444,310.1944,74.0
slardar,15,0,15,0.4667,1.3333,308.4667,40.8667
tidehunter,16,14,30,0.5,1.5625,441.5,178.25
witch_doctor,20,4,24,0.4,3.6,274.0,36.4
riki,4,1,5,0.25,4.25,321.25,27.75
enigma,15,25,40,0.3333,3.8667,456.0667,248.6
tinker,9,11,20,0.2222,6.1111,506.1111,327.6667
sniper,6,7,13,0.8333,9.6667,606.1667,443.5
necrolyte,31,18,49,0.6129,7.8387,498.7097,230.2258
warlock,5,1,6,0.4,4.0,311.0,95.6
beastmaster,7,5,12,0.7143,2.7143,519.2857,251.4286
queenofpain,40,40,80,0.45,9.975,589.2,322.15
venomancer,28,34,62,0.6071,4.75,554.1071,280.5357
faceless_void,46,42,88,0.3913,5.0217,479.5435,209.0652
skeleton_king,0,0,0,0.0,0.0,0.0,0.0
death_prophet,29,52,81,0.5172,7.0345,502.1724,269.8276
phantom_assassin,7,4,11,0.5714,12.4286,659.7143,273.5714
pugna,16,26,42,0.4375,5.9375,465.8125,234.3125
templar_assassin,12,19,31,0.5,6.5833,643.3333,360.1667
viper,7,24,31,0.4286,9.1429,557.7143,406.5714
luna,7,3,10,0.4286,5.4286,509.2857,312.4286
dragon_knight,20,20,40,0.4,5.3,521.15,256.75
dazzle,27,5,32,0.8148,1.6667,310.5926,48.3704
rattletrap,33,15,48,0.2121,4.4242,325.1212,95.0909
leshrac,5,1,6,0.8,12.4,676.8,350.2
furion,30,37,67,0.6,5.8,494.3,289.7333
life_stealer,14,12,26,0.5,5.5714,507.2857,207.5714
dark_seer,28,33,61,0.4643,3.1786,385.6786,187.6429
clinkz,4,1,5,0.5,10.5,512.75,205.25
omniknight,4,4,8,0.5,1.5,374.75,135.0
enchantress,7,6,13,0.5714,4.2857,379.4286,129.7143
huskar,3,17,20,1.0,8.3333,536.3333,196.0
night_stalker,51,107,158,0.4902,3.2157,338.4706,60.2745
broodmother,6,25,31,0.6667,5.8333,712.5,266.1667
bounty_hunter,8,5,13,0.5,1.875,314.375,20.125
weaver,27,29,56,0.4815,8.2963,554.3333,304.2593
jakiro,5,1,6,0.2,1.8,355.8,103.8
batrider,62,87,149,0.4677,4.2258,410.0323,150.5
chen,2,2,4,0.5,2.0,256.5,76.5
spectre,0,0,0,0.0,0.0,0.0,0.0
doom_bringer,14,2,16,0.5714,4.8571,401.0,117.5
ancient_apparition,33,31,64,0.6061,3.3333,305.4242,38.4242
ursa,18,17,35,0.6111,9.8333,539.9444,202.0
spirit_breaker,15,0,15,0.5333,2.8,286.7333,21.7333
gyrocopter,3,4,7,0.3333,4.0,402.0,114.3333
alchemist,14,21,35,0.5714,6.6429,643.7143,364.5
invoker,21,22,43,0.4762,7.7619,578.2381,368.5238
silencer,32,43,75,0.3125,2.9375,320.9688,80.8438
obsidian_destroyer,6,8,14,0.1667,3.3333,465.8333,250.6667
lycan,43,43,86,0.5814,6.8372,479.0,255.6279
brewmaster,7,5,12,0.5714,4.5714,449.2857,125.1429
shadow_demon,8,1,9,0.625,2.5,268.5,63.375
lone_druid,10,16,26,0.3,3.7,501.5,337.9
chaos_knight,12,10,22,0.3333,4.6667,400.0833,208.25
meepo,1,10,11,0.0,4.0,808.0,263.0
treant,2,1,3,0.0,0.0,213.0,53.5
ogre_magi,5,6,11,1.0,1.8,315.4,29.4
undying,1,0,1,0.0,5.0,308.0,25.0
rubick,28,10,38,0.4286,3.2143,333.2857,74.9286
disruptor,25,8,33,0.6,2.44,324.84,44.2
nyx_assassin,45,104,149,0.7111,2.2222,352.7111,38.8444
naga_siren,16,10,26,0.625,2.25,371.8125,223.25
keeper_of_the_light,17,23,40,0.4706,1.6471,332.2353,195.9412
wisp,15,69,84,0.4667,1.9333,267.6667,38.3333
visage,17,5,22,0.2353,3.0588,331.1765,94.0
slark,2,3,5,0.5,4.5,520.0,319.0
medusa,10,14,24,0.8,5.4,648.2,400.2
troll_warlord,23,15,38,0.4783,5.3043,565.8696,268.8696
centaur,8,2,10,0.5,2.125,408.0,149.875
magnataur,15,8,23,0.6667,2.2,495.7333,175.4667
shredder,14,11,25,0.3571,6.6429,612.0714,340.3571
bristleback,18,14,32,0.5556,3.2778,474.5,255.8333
tusk,19,2,21,0.4211,2.8947,362.5789,43.6842
skywrath_mage,1,0,1,0.0,3.0,294.0,86.0
abaddon,2,0,2,1.0,6.5,602.0,276.5
elder_titan,6,3,9,0.5,3.5,311.5,87.5
legion_commander,30,21,51,0.4333,5.3333,451.6333,168.4667
ember_spirit,25,17,42,0.52,7.88,573.64,283.68
earth_spirit,40,31,71,0.575,3.375,351.275,45.625
terrorblade,14,20,34,0.5,7.3571,502.0714,416.2143
phoenix,4,0,4,0.75,3.5,468.75,118.25
oracle,28,6,34,0.5,2.6071,304.1071,32.6071
techies,0,0,0,0.0,0.0,0.0,0.0
winter_wyvern,20,13,33,0.55,2.35,303.6,89.55
arc_warden,3,7,10,0.3333,9.6667,546.6667,532.0
abyssal_underlord,3,0,3,0.3333,1.3333,420.0,266.3333
monkey_king,12,3,15,0.3333,4.25,433.6667,170.3333
pangolier,0,0,0,0.0,0.0,0.0,0.0
dark_willow,0,0,0,0.0,0.0,0.0,0.0
grimstroke,0,0,0,0.0,0.0,0.0,0.0
mars,0,0,0,0.0,0.0,0.0,0.0
void_spirit,0,0,0,0.0,0.0,0.0,0.0
snapfire,0,0,0,0.0,0.0,0.0,0.0
hoodwink,0,0,0,0.0,0.0,0.0,0.0
dawnbreaker,0,0,0,0.0,0.0,0.0,0.0
marci,0,0,0,0.0,0.0,0.0,0.0
